No errors
No warnings
368 ms
data source=metars
4796 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
CYYN 171917Z AUTO 05005KT 2SM -SN OVC022 M01/M04 A2977 RMK VIS VRB 3/4-3 ICG SLP118,CYYN,2021-01-17T19:17:00Z,50.28,-107.68,-1.0,-4.0,50,5,,2.0,29.769686,1011.8,,TRUE,,,,,,,-SN,OVC,2200,,,,,,,IFR,,,,,,,,,,,,SPECI,814.0
CYRV 171917Z AUTO VRB02KT 9SM -RA OVC065 00/M00 A3025 RMK SLP267,CYRV,2021-01-17T19:17:00Z,50.97,-118.17,0.0,0.0,0,2,,9.0,30.250984,1026.7,,TRUE,,,,,,,-RA,OVC,6500,,,,,,,VFR,,,,,,,,,,,,SPECI,456.0
CYHD 171917Z AUTO 24003KT 8SM -SN BKN009 BKN014 OVC031 M09/M10 A2971 RMK SLP096,CYHD,2021-01-17T19:17:00Z,49.82,-92.75,-9.0,-10.0,240,3,,8.0,29.71063,1009.6,,TRUE,,,,,,,-SN,BKN,900,BKN,1400,OVC,3100,,,IFR,,,,,,,,,,,,SPECI,414.0
YBCS 171916Z AUTO 17010G20KT 9999 -RA BKN031 BKN052 BKN066 25/23 Q1004,YBCS,2021-01-17T19:16:00Z,-16.87,145.75,25.0,23.0,170,10,20,6.21,29.64567,,,TRUE,,,,,,,-RA,BKN,3100,BKN,5200,BKN,6600,,,VFR,,,,,,,,,,,,SPECI,2.0
K40B 171916Z AUTO VRB05G14KT M01/M01 A2905 RMK AO1 SLP857 T10131008 52013 P0002 ,K40B,2021-01-17T19:16:00Z,46.62,-69.52,-1.3,-0.8,0,5,14,,29.049213,985.7,,TRUE,TRUE,,,,,,,,,,,,,,,,1.3,,,,,0.02,,,,,,METAR,344.0
CYXL 171916Z VRB02KT 1/2SM SHSN VV005 M10/M11 A2972 RMK SN8 SLP099,CYXL,2021-01-17T19:16:00Z,50.12,-91.9,-10.0,-11.0,0,2,,0.5,29.719488,1009.9,,,,,,,,,SHSN,OVX,0,,,,,,,LIFR,,,,,,,,,,,500,SPECI,381.0
CYVP 171916Z 03013KT 1 1/4SM -SN DRSN VV014 M14/M16 A2978 RMK SN8 SLP090,CYVP,2021-01-17T19:16:00Z,58.12,-68.42,-14.0,-16.0,30,13,,1.25,29.778543,1009.0,,,,,,,,,-SN DRSN,OVX,0,,,,,,,LIFR,,,,,,,,,,,1400,SPECI,28.0
SBLO 171915Z 34008KT 8000 3000E -TSRA BKN012 SCT020 FEW025CB BKN100 24/24 Q1009 RERA,SBLO,2021-01-17T19:15:00Z,-23.33,-51.12,24.0,24.0,340,8,,4.97,29.793306,,,,,,,,,,-TSRA,BKN,1200,SCT,2000,FEW,2500,BKN,10000,MVFR,,,,,,,,,,,,SPECI,563.0
PAVC 171915Z AUTO 36036G49KT 1/2SM SN A2946 RMK AO2 PK WND 01052/1902 P0000 FZRANO $,PAVC,2021-01-17T19:15:00Z,55.12,-162.27,,,360,36,49,0.5,29.459646,,,TRUE,TRUE,TRUE,,,TRUE,,SN,,,,,,,,,,,,,,,0.005,,,,,,SPECI,48.0
PANW 171915Z AUTO 00000KT 1 1/2SM -SN BR OVC017 M02/M02 A2936 RMK AO2 P0000 FZRANO,PANW,2021-01-17T19:15:00Z,59.45,-157.32,-2.0,-2.0,0,0,,1.5,29.359253,,,TRUE,TRUE,,,,TRUE,,-SN BR,OVC,1700,,,,,,,IFR,,,,,,0.005,,,,,,SPECI,100.0
PAKX 171915Z AUTO 18003KT 10SM SCT090 00/00 A2935 RMK AO2,PAKX,2021-01-17T19:15:00Z,,,0.0,0.0,180,3,,10.0,29.350393,,,TRUE,TRUE,,,,,,,SCT,9000,,,,,,,VFR,,,,,,,,,,,,METAR,
LMML 171915Z 29023G35KT 9999 -RA FEW014 SCT030 13/10 Q1016 NOSIG,LMML,2021-01-17T19:15:00Z,35.85,14.47,13.0,10.0,290,23,35,6.21,30.0,,,,,,TRUE,,,,-RA,FEW,1400,SCT,3000,,,,,VFR,,,,,,,,,,,,METAR,78.0
KY63 171915Z AUTO 28010KT 10SM OVC007 M05/M06 A2980 RMK AO2 T10511058,KY63,2021-01-17T19:15:00Z,45.98,-96.0,-5.1,-5.8,280,10,,10.0,29.799213,,,TRUE,TRUE,,,,,,,OVC,700,,,,,,,IFR,,,,,,,,,,,,METAR,367.0
KY51 171915Z AUTO 30007KT 10SM BKN010 OVC017 M03/M03 A2970 RMK AO1 T10271027,KY51,2021-01-17T19:15:00Z,43.58,-90.9,-2.7,-2.7,300,7,,10.0,29.698818,,,TRUE,TRUE,,,,,,,BKN,1000,OVC,1700,,,,,MVFR,,,,,,,,,,,,METAR,390.0
KY31 171915Z AUTO 26003KT 5SM -SN SCT015 OVC022 00/M02 A2960 RMK AO2 T00031020,KY31,2021-01-17T19:15:00Z,44.25,-84.18,0.3,-2.0,260,3,,5.0,29.601377,,,TRUE,TRUE,,,,,,-SN,SCT,1500,OVC,2200,,,,,MVFR,,,,,,,,,,,,METAR,264.0
